entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,prop_od_presidentas,prop_od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,prop_comisiones_presidentas ,prop_comisiones_integrantes
Sonora,Sonora 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,28.56999969,46.65999985,5,13,18,27.77799988,40.10599899,9,8,17,52.94100189,44.87900162,1,0,0,42.42399979,11,10,8,4,19,14,33,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Sonora,2014,5,1996,22,581413.8125,0.030687593,0.030380301,0.030547831,0.028886707,1,3000127,193796.3906,0.107364915,2020,87.80337524,21.89999962,10.39999962,Sonora,0.285699993,0.466600001,0.277779996,0.401059985,0.529410005,0.448790014,0.4,0.424240363
Tabasco,Tabasco 2 (2019-2021),Leg. 2,2019-2021,2019,2020,2021,,,33.33000183,44.43999863,13,5,18,72.22200012,52.19800186,3,3,6,50,55.55599976,0,0,1,51.42900085,10,11,7,7,17,18,35,1,Ley Electoral y de Partidos Pol√≠ticos del Estado de Tabasco,2014,5,2002,17,448090.7188,0.023138946,0.024222394,0.02660957,0.028041873,0,2544372,176110.5313,0.094331376,2020,58.54125595,18.79999924,9.68999958,Tabasco,0.333300024,0.444399983,0.722220004,0.521980047,0.5,0.555559993,0.676470588,0.529878618
Tamaulipas,Tamaulipas 2 (2019-2021),Leg. 2,2019-2021,2019,2020,2021,,,31.80999947,47.25,4,15,19,21.0529995,46.61700058,12,6,18,66.66699982,57.93700027,1,0,1,52.77799988,11,11,6,8,17,19,36,2,Ley Electoral del Estado de Tamaulipas,2015,5,2003,16,517770.1563,0.02708414,0.026558815,0.025985686,0.026103942,1,3620910,142994.4844,0.069926612,2020,90.25156403,19.39999962,10.09000015,Tamaulipas,0.318100005,0.472499996,0.210529998,0.466170013,0.666670024,0.579370022,0.432432432,0.521235521
Tlaxcala,Tlaxcala 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,57.13999939,68.84999847,8,10,18,44.44400024,45.80500031,13,1,14,92.85700226,78.51699829,0,0,1,60,8,7,2,8,10,15,25,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Tlaxcala,2015,3,2004,14,98881.60156,0.003367001,0.003180363,0.003252521,0.003229814,1,1347932,73358,0.018608235,2020,83.38764954,16.70000076,9.829999924,Tlaxcala,0.571399987,0.688499987,0.444440007,0.458050013,0.928570032,0.785169959,0.625,0.607982928
Veracruz,Veracruz 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,28.56999969,52.38000107,14,16,30,46.66699982,48.17300034,13,13,26,50,51.41699982,0,1,1,50,15,15,10,10,25,25,50,2,C√≥digo. N√∫mero 577. C√≥digo Electoral para el Estado de Veracruz de Ignacio de Llave,2015,3.5,2006,12,794018.625,0.042725112,0.041709036,0.042210527,0.042256717,1,8434163,94143.14844,0.033925779,2020,61.72462845,15.60000038,8.75,Veracruz,0.285699993,0.523800015,0.466670007,0.481730014,0.5,0.514169991,0.4875,0.497946429
Yucatán,Yucatán 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,40,43.47000122,4,4,8,50,41.07099915,4,4,8,50,53.57099915,0,1,1,48,8,7,5,5,13,12,25,2,Ley de Partidos Pol√≠ticos del Estado de Yucat√°n,2014,4.5,2003,15,261283.8125,0.012562086,0.012058589,0.011498862,0.010812026,1,2208236,118322.4141,0.051744606,2020,85.95169067,18.20000076,9.590000153,Yucatán,0.400000006,0.434700012,0.5,0.410709977,0.5,0.535709977,0.5,0.473214286
Zacatecas,Zacatecas 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,31.25,48,7,10,17,41.17599869,38.43799973,7,7,14,50,53.33300018,0,1,1,50,12,6,3,9,15,15,30,2,Ley Electoral del Estado de Zacatecas,2015,3.5,2003,15,157631.2344,0.006693359,0.006692787,0.006714128,0.006822118,1,1642388,95976.85938,0.035277124,2020,63.25596237,15,9.25,Zacatecas,0.3125,0.479999989,0.411759973,0.384379983,0.5,0.533330023,0.451612903,0.451651306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,
