entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,prop_od_presidentas,prop_od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,prop_comisiones_presidentas ,prop_comisiones_integrantes
Tamaulipas,Tamaulipas 1 (2016-2019),Leg. 1,2016-2019,2016,2017,2018,2019,,39.38999939,51.33000183,6,13,19,31.57900047,33.83499908,9,7,16,56.25,51.26100159,1,0,0,44.44400024,13,9,7,7,20,16,36,1,Ley Electoral del Estado de Tamaulipas,2015,5,2003,13,500458.0625,0.026103942,0.025658287,0.02482623,0.024562957,0,3527104,141889.2188,0.069112092,2015,88.96948242,19.39999962,9.510000229,Tamaulipas,0.393900007,0.513300002,0.315789998,0.338349998,0.5625,0.512610018,0.416666667,0.420634921
Tlaxcala,Tlaxcala 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,40,56.52000046,1,12,13,7.691999912,24.2310009,7,4,11,63.63600159,41.2120018,0,0,0,32,11,4,6,4,17,8,25,0,Ley de Instituciones y Procedimientos Electorales para el Estado de Tlaxcala,2015,3,2004,12,96859.66406,0.003252521,0.003229814,0.002884657,0.00273151,1,1314415,73690.32031,0.018853137,2015,79.865448,16.70000076,9.270000458,Tlaxcala,0.400000006,0.565200031,0.076920003,0.242310002,0.63635999,0.412120014,0.333333333,0.320138889
Veracruz,Veracruz 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,66.66000366,46.65999985,7,19,26,26.92300034,30.23800087,14,14,28,50,41.33300018,0,1,0,42,18,12,11,9,29,21,50,1,C√≥digo. N√∫mero 577. C√≥digo Electoral para el Estado de Veracruz de Ignacio de Llave,2015,3.5,2006,10,784930.125,0.042210527,0.042256717,0.041975852,0.042008232,0,8316599,94381.14063,0.03410117,2015,61.16162491,15.60000038,8.199999809,Veracruz,0.666600049,0.466600001,0.269230008,0.302379996,0.5,0.413329989,0.375,0.357857143
Yucatán,Yucatán 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,20,30.29999924,3,5,8,37.5,37.99599838,3,5,8,37.5,38.09500122,0,1,,36,8,7,8,2,16,9,25,,Ley de Partidos Pol√≠ticos del Estado de Yucat√°n,2014,4.5,2003,12,230374.5313,0.010812026,0.010443109,0.009986162,0.009924581,1,2128802,108217.9219,0.044298138,2015,84.54521179,18.20000076,8.819999695,Yucatán,0.200000003,0.303000003,0.375,0.379959971,0.375,0.380950004,0.375,0.380456349
Zacatecas,Zacatecas 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,40,56.31999969,10,14,24,41.66699982,44.47100067,7,5,12,58.33300018,68.33300018,0,0,0,53.33300018,9,9,5,7,14,16,30,0,Ley Electoral del Estado de Zacatecas,2015,3.5,2003,13,157998.0625,0.006714128,0.006822118,0.006646774,0.006083431,1,1616675,97730.25,0.036569282,2015,61.25161362,15,8.630000114,Zacatecas,0.400000006,0.563199997,0.416669995,0.444710016,0.583329976,0.683329999,0.491666667,0.54015873
Aguascalientes,Aguascalientes 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,0,43.90000153,7,7,14,50,55.2179985,7,6,13,53.84600067,49.23099899,1,0,1,51.85200119,9,9,4,5,13,14,27,2,C√≥digo Electoral del Estado de Aguascalientes,2015,4,2003,15,224891.5938,0.010501587,0.0100381,0.009753131,0.008991499,1,1395794,161120.9063,0.083284818,2020,84.0842514,20.70000076,10.35000038,Aguascalientes,0,0.43900001,0.5,0.552179992,0.538460016,0.492309988,0.518518519,0.523353909
Baja California,Baja California 2 (2019-2021),Leg. 2,2019-2021,2019,2020,2021,,,66.66600037,47.61000061,4,9,13,30.7689991,38.36999893,7,6,13,53.84600067,55.47600174,0,0,0,48,8,9,5,3,13,12,25,0,Ley Electoral del Estado de Baja California y Ley de Partidos Pol√≠ticos del Estado de Baja California,2015,4.5,2006,13,575784,0.030368838,0.029817475,0.029097352,0.028090971,1,3578561,160898.2031,0.083120696,2020,93.66466522,19.39999962,10.19999981,Baja California,0.666660011,0.476099998,0.307689995,0.383699983,0.538460016,0.554760039,0.423076923,0.469230769
Baja California Sur,Baja California Sur 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,58.91999817,6,7,13,46.15399933,43.93899918,8,11,19,42.10499954,60.52600098,1,0,1,57.14300156,9,7,0,5,9,12,21,2,Ley Electoral del Estado de Baja California Sur,2014,4.5,2003,15,173200.5938,0.007574884,0.00616937,0.005352471,0.005158379,1,771294,224558.4688,0.130034909,2020,91.11437225,21.10000038,10.34000015,Baja California Sur,0.5,0.58919996,0.461539984,0.439390004,0.421049982,0.605260015,0.416666667,0.544444444
Campeche,Campeche 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,54.54000092,47.43000031,9,5,14,64.28600311,52.85699844,7,8,15,46.66699982,53.33300018,1,0,0,51.42900085,12,9,5,9,17,18,35,1,Ley de Instituciones y Procedimientos Electorales del Estado de Campeche,2014,5,2002,16,529465.6875,0.027746333,0.028222889,0.031774595,0.033869073,0,967319,547353.75,0.367917836,2020,75.03390503,20.29999924,9.630000114,Campeche,0.545400023,0.474299997,0.642860055,0.528569996,0.466670007,0.533330023,0.551724138,0.531034483
Chiapas,Chiapas 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,33.33000183,48.13999939,9,10,19,47.36800003,59.39899826,19,4,23,82.60900116,69.35800171,0,1,1,65,11,13,3,13,14,26,40,2,C√≥digo de Elecciones y Participacion Ciudadana,2014,2,2005,13,267664.125,0.012923334,0.01348481,0.014020056,0.014064081,1,5563869,48107.55469,0,2020,49.18482208,11.69999981,7.78000021,Chiapas,0.333300024,0.481399983,0.47367999,0.593989968,0.826090038,0.693580031,0.666666667,0.648526077
