entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,od_presidentas,od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,_est_od01,_est_od02,_est_dur01,_est_dur02,_est_blan01,_est_blan02,_est_unidad,_est_estudios,_est_lenguaje
Chihuahua,Chihuahua 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,45.450001,5,8,13,38.462002,48.013,11,10,21,52.381001,60.873001,1,0,1,45.455002,11,11,7,4,18,15,33,2,Ley Electoral del Estado de Chihuahua,2015,5,1997,21,564077.69,.029706035,.028993744,.028014697,.026680602,1,3727984,151309.03,.076053992,2020,87.497612,18.799999,10,Chihuahua,.25,.45450002,.38462001,.48013002,.52381003,.60873002,1,1,1,1,1,1,1,1,1
Ciudad de México,CDMX 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,8.3000002,47.639999,4,9,13,30.768999,34.957001,16,7,23,69.565002,56.108002,0,1,0,45.455002,24,16,12,14,36,30,66,1,C√≥digo de Instituciones y Procedimientos Electorales del Distrito Federal,2014,3.5,1999,16,2869793,.16025381,.15338925,.14911531,.1468997,1,9058734,316798.44,.19801088,2015,99.460213,32.099998,11.12,Ciudad de México,.083000004,.47639999,.30768999,.34957001,.69565004,.56108004,1,1,1,1,1,1,1,1,1
Ciudad de México,CDMX 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,70,45.900002,9,8,17,52.941002,50.798,14,10,24,58.333,53.915001,0,1,0,50,17,16,16,17,33,33,66,1,C√≥digo de Instituciones y Procedimientos Electorales del Distrito Federal,2014,3.5,1999,19,3126459.5,.17478608,.17020446,.16520463,.16025381,1,9041395,345793.94,.21937899,2020,99.301712,32.099998,11.48,Ciudad de México,.69999999,.45900002,.52941,.50797999,.58332998,.53915,1,1,1,1,1,1,1,1,1
Coahuila,Coahuila 1 (2015-2017),Leg. 1,2015-2017,2015,2016,2017,,,33.330002,45.709999,6,11,17,35.293999,43.291,9,7,16,56.25,59.080002,0,0,1,36,8,8,8,1,16,9,25,1,C√≥digo Electoral del Estado de Coahuila de Zaragoza,2010,2.5,2001,14,563928.44,.029697586,.029430836,.028241256,.028883591,0,3000556,187941.31,.10305003,2015,90.913712,21.5,9.8999996,Coahuila,.33330002,.4571,.35293999,.43291,.5625,.59080005,1,1,1,1,1,1,1,1,1
Coahuila,Coahuila 2 (2018-2020),Leg. 2,2018-2020,2018,2019,2020,2021,,0,51.560001,8,7,15,53.333,56.766998,8,5,13,61.537998,68.333,0,0,1,56,7,9,4,5,11,14,25,1,C√≥digo Electoral del Estado de Coahuila de Zaragoza,2016,4,2001,17,608138.81,.032200743,.03183743,.030168384,.029697586,0,3132017,194168.42,.10763907,2020,91.651001,21.5,10.43,Coahuila,0,.51560003,.53333002,.56766999,.61537999,.68333,1,1,1,1,1,1,1,1,1
Colima,Colima 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,18.75,30.84,6,16,22,27.273001,34.595001,9,10,18,50,45.341999,1,0,0,36,11,5,5,4,16,9,25,1,C√≥digo Electoral del Estado de Colima,2014,3,1999,16,95878.063,.0031969431,.0030738071,.0029446699,.0028947231,0,721696,132851.05,.062451433,2015,89.032036,22,9.5299997,Colima,.1875,.30840001,.27272999,.34595001,.5,.45341998,1,1,1,1,1,1,1,1,1
Colima,Colima 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,68.75,58.41,14,14,28,50,45.498001,12,9,21,57.143002,66.468002,1,0,1,56,9,7,2,7,11,14,25,2,C√≥digo Electoral del Estado de Colima,2014,3,1999,19,105031.03,.0037151771,.0035457951,.00334971,.0031969431,0,760333,138138.2,.066347785,2020,90.061127,22,10.05,Colima,.6875,.58410001,.5,.45498002,.57143003,.66468,1,1,1,1,1,1,1,1,1
Durango,Durango 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,20,50,5,12,17,29.412001,40.452999,11,8,19,57.895,56.479,0,0,0,44,8,7,6,4,14,11,25,0,Ley de Instituciones y Procedimientos Electorales para el Estado de Durango,2014,5,2000,16,200660.97,.0091296677,.0086895749,.0086941337,.008472424,0,1801963,111356.88,.046611376,2015,70.325012,16.700001,9.1499996,Durango,.2,.5,.29412001,.40452999,.57894999,.56479001,1,1,1,1,1,1,1,1,1
Durango,Durango 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,45.450001,39.060001,7,13,20,35,32.429001,8,12,20,40,52,0,0,0,44,9,6,5,5,14,11,25,0,Ley de Instituciones y Procedimientos Electorales para el Estado de Durango,2014,5,2000,18,202272.03,.0092208851,.0090672933,.0091296677,.0086895749,1,1836460,110142.35,.045716342,2020,72.374977,16.700001,9.75,Durango,.45450002,.39060003,.34999999,.32429001,.40000001,.51999998,1,1,1,1,1,1,1,1,1
Estado de México,México 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,29.620001,41.48,11,26,37,29.73,30.164,12,27,39,30.768999,42.862999,1,0,0,37.333,26,19,21,9,47,28,75,1,C√≥digo Electoral del Estado de M√©xico,2014,4,1999,16,1445183.5,.079593547,.077165067,.075062357,.073637836,0,16453628,87833.727,.029276075,2015,86.092064,17.9,9.5299997,Estado de México,.29620001,.41479999,.29729998,.30164,.30768999,.42862999,1,1,1,1,1,1,1,1,1
